,Title,Author,Price,Image,Link
0,Cabaca : Cara Cepat Pintar Membaca Untuk Anak 4-6 Tahun, FANY NOVIA CAHYANI ,Rp 59.000,https://cdn.gramedia.com/uploads/items/111_HOSLaWq__w149_hauto.jpg,https://www.gramedia.com/products/cabaca-cara-cepat-pintar-membaca-untuk-anak-4-6-tahun
1,Living Clean : Gaya Hidup Minim Toksin!, Inge Tumiwa - Bachrens ,Rp 88.000,/assets/default-images/product.png,https://www.gramedia.com/products/living-clean-gaya-hidup-minim-toksin-1
2,Biru Pram Frasa, MEGAKATA None ,Rp 88.000,https://cdn.gramedia.com/uploads/items/Biru_Pram_Frasa__w149_hauto.jpg,https://www.gramedia.com/products/biru-pram-frasa
3,Uncensored Blak-Blakan Soal Pasutri (New Cover), @OLEVELOVE  ,Rp 109.000,/assets/default-images/product.png,https://www.gramedia.com/products/uncensored-blak-blakan-soal-pasutri-new-cover
4,Hilangnya Sajadah Ayah, Benny Rhamdani ,Rp 64.000,https://cdn.gramedia.com/uploads/items/Hilangnya_Sajadah_Ayah__w149_hauto.jpg,https://www.gramedia.com/products/hilangnya-sajadah-ayah
5,Komik Next G: Misteri Ruang Ipa," Sayyida Mafaazaa Salsabila, dkk. ",Rp 39.000,/assets/default-images/product.png,https://www.gramedia.com/products/komik-next-g-misteri-ruang-ipa
6,Indonesia X-Files," dr. Abdul Mun'im Idries, Sp.F. ",Rp 98.000,https://cdn.gramedia.com/uploads/items/Indonesia_X-Files__w149_hauto.jpg,https://www.gramedia.com/products/indonesia-x-files-1
7,Laskar & Jingga, Tresia . ,Rp 99.000,/assets/default-images/product.png,https://www.gramedia.com/products/laskar-jingga
8,The King 2023 Soshum : Bedah Kisi2 Sbmptn & Um Mandiri, Forum Tentor Indonesia ,Rp 240.000,/assets/default-images/product.png,https://www.gramedia.com/products/the-king-2023-soshum-bedah-kisi2-sbmptn-um-mandiri
9,FSA Komik Pendidikan Vitamin : Menjaga Kesehatan Tubuh Dan Hati, TIM PRODUKSI KBS VITAMIN ,Rp 148.000,https://cdn.gramedia.com/uploads/items/FSA_Komik_Pendidikan_Vitamin__Menjaga_Kesehatan_Tubuh_Dan_Hati__w149_hauto.jpg,https://www.gramedia.com/products/fsa-komik-pendidikan-vitamin-menjaga-kesehatan-tubuh-dan-hati
10,FSA Real Account 04," Okushou,Shizumu Watanabe ",Rp 25.000,https://cdn.gramedia.com/uploads/items/FSA_Real_Account_04__w149_hauto.jpg,https://www.gramedia.com/products/fsa-real-account-04
11,Renungan Sufi Membuka Tirai Kegaiban, Jalaluddin Rakhmat ,Rp 99.000,/assets/default-images/product.png,https://www.gramedia.com/products/renungan-sufi-membuka-tirai-kegaiban
12,Mereka Yang Tak Pernah Mati, Emha Ainun Nadjib ,Rp 79.000,https://cdn.gramedia.com/uploads/items/Mereka_Tak_Pernah_Mati__w149_hauto.png,https://www.gramedia.com/products/mereka-yang-tak-pernah-mati
13,Injury Time Ujian Sekolah Sd/Mi 2023," RENATA KILIA,S.PD. DAN TIM ",Rp 130.000,/assets/default-images/product.png,https://www.gramedia.com/products/injury-time-ujian-sekolah-sdmi-2023
14,Parenting Detox, Angga Setyawan ,Rp 89.000,https://cdn.gramedia.com/uploads/items/Parenting_Detox__w149_hauto.jpg,https://www.gramedia.com/products/parenting-detox
15,"Bebaskan Aku Dari Alergi, Panduan Ortu Kekinian Vol. 2"," Dr. Vicka Farah Diba M.Sc.,Sp.A. ",Rp 79.000,/assets/default-images/product.png,https://www.gramedia.com/products/bebaskan-aku-dari-alergi-panduan-ortu-kekinian-vol-2
16,Ergonomi Dinamika Beban Kerja, Tjokorda Bagus Putra Marhaendra ,Rp 69.000,/assets/default-images/product.png,https://www.gramedia.com/products/ergonomi-dinamika-beban-kerja
17,FSA Sang Pemenang Berdiri Sendirian (The Winner Stands Alone), Paulo Coelho ,Rp 90.000,/assets/default-images/product.png,https://www.gramedia.com/products/fsa-sang-pemenang-berdiri-sendirian-the-winner-stands-alone
18,Beternak Magot, Ediwarman None ,Rp 74.000,/assets/default-images/product.png,https://www.gramedia.com/products/beternak-magot
19,"Populasi - Sampel, Teknik Sampling&Bias Dalam Penelitian", I Ketut Swarjana ,Rp 56.000,/assets/default-images/product.png,https://www.gramedia.com/products/populasi-sampel-teknik-samplingbias-dalam-penelitian
20,Libas AKM untuk SMK/MAK 2022," Fitri Lianingsih, M.Si. ",Rp 75.000,https://cdn.gramedia.com/uploads/items/Libas_AKM_SMK__w149_hauto.jpg,https://www.gramedia.com/products/liibas-akm-untuk-smkmak-2022
21,Paten Bahas Kisi-Kisi Simak Ui Saintek 2022-2023, Tim Tentor Anak Bangsa ,Rp 140.000,https://cdn.gramedia.com/uploads/items/PATEN_SIMAK_UI__w149_hauto.jpg,https://www.gramedia.com/products/paten-bahas-kisi-kisi-simak-ui-saintek-2022-2023
